2017-09-25 10:43:02,652:INFO: Connecting to 10.51.108.199:5674
2017-09-25 10:43:02,678:INFO: Created channel=1
2017-09-25 10:43:12,349:INFO: Connecting to 10.51.108.199:5674
2017-09-25 10:43:12,666:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,669:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,671:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,673:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,676:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,678:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,680:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,683:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,685:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,688:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,691:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,693:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,696:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,698:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,701:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,703:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,706:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,708:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,711:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,713:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,716:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,718:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,720:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,723:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,725:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,728:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,730:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,732:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,735:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,737:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,740:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,742:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,744:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,747:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,749:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,751:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,754:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,756:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,758:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,761:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,763:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,766:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,768:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,770:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,773:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,775:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,777:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,780:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,782:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,784:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,787:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,789:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,792:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,794:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,797:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,799:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,803:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,806:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,808:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,810:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,813:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,815:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,817:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,820:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
